epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,40462.5,1.46415,2.1188,2.39741,0.66424,0.58148,0.63977,0.49991,1.69001,2.47273,2.44272,0.000325526,0.000325526,0.000325526
41,41832.6,1.48943,1.92359,2.46048,0.67048,0.58766,0.64212,0.49942,1.68452,2.48375,2.44268,0.000297232,0.000297232,0.000297232
42,42804,1.42966,1.79315,2.41371,0.65886,0.62331,0.64873,0.50619,1.69109,2.45865,2.44505,0.000268938,0.000268938,0.000268938
43,43862.6,1.40289,1.74105,2.37901,0.65501,0.62177,0.65498,0.5126,1.66995,2.44844,2.45075,0.000240644,0.000240644,0.000240644
44,44833.5,1.39763,1.7308,2.39907,0.68144,0.57961,0.64705,0.51774,1.62607,2.48027,2.39616,0.000212349,0.000212349,0.000212349
45,45625.2,1.36215,1.69376,2.37407,0.67119,0.63027,0.66694,0.5301,1.62222,2.42877,2.40293,0.000184055,0.000184055,0.000184055
46,46474.6,1.32246,1.63097,2.33918,0.64613,0.63474,0.6615,0.52725,1.61906,2.42504,2.39457,0.000155761,0.000155761,0.000155761
47,47475.6,1.2955,1.59518,2.3039,0.6729,0.62155,0.65993,0.51573,1.66535,2.47967,2.44624,0.000127467,0.000127467,0.000127467
48,48494.4,1.29422,1.56271,2.30667,0.67032,0.61602,0.66039,0.52373,1.61424,2.41035,2.4067,9.91726e-05,9.91726e-05,9.91726e-05
49,49449.8,1.27729,1.54002,2.29741,0.68385,0.60973,0.66391,0.52713,1.60492,2.41909,2.39643,7.08784e-05,7.08784e-05,7.08784e-05
50,50700.3,1.25662,1.51016,2.26927,0.65081,0.62349,0.66388,0.52616,1.62291,2.42494,2.41618,4.25842e-05,4.25842e-05,4.25842e-05
