epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,990.622,2.23664,5.56146,2.99157,0.59475,0.22688,0.22334,0.14836,2.28687,5.86613,2.91189,0.000473611,0.000473611,0.000473611
2,1889.64,2.21186,4.51733,2.91594,0.35857,0.33642,0.29104,0.17493,2.55291,5.12861,3.16178,0.000931136,0.000931136,0.000931136
3,2753.49,2.24313,4.17884,2.96114,0.33262,0.38175,0.28859,0.1683,2.57459,5.41641,3.20533,0.0013698,0.0013698,0.0013698
4,3640.84,2.22567,3.93119,2.92018,0.38561,0.42367,0.36276,0.23828,2.39105,4.36609,3.00431,0.00134412,0.00134412,0.00134412
5,4838.6,2.18239,3.73481,2.88385,0.40171,0.41038,0.35395,0.22228,2.48867,4.08301,3.06737,0.00131582,0.00131582,0.00131582
6,5945.75,2.13111,3.57482,2.85435,0.32306,0.46076,0.34628,0.21238,2.43056,4.68152,3.04139,0.00128753,0.00128753,0.00128753
7,6909.83,2.09876,3.49429,2.82852,0.44402,0.49729,0.4375,0.27769,2.27946,3.79538,2.90953,0.00125923,0.00125923,0.00125923
8,7831.38,2.05871,3.35409,2.80149,0.50098,0.46873,0.46114,0.29751,2.28602,3.60997,2.93337,0.00123094,0.00123094,0.00123094
9,8773.65,2.04291,3.2962,2.78212,0.49339,0.50573,0.4826,0.32034,2.17356,3.43804,2.83309,0.00120265,0.00120265,0.00120265
10,9616.46,2.00436,3.19418,2.76401,0.49271,0.49141,0.46332,0.32642,2.12627,3.54525,2.77267,0.00117435,0.00117435,0.00117435
11,10885.1,1.99916,3.17995,2.75708,0.47151,0.50097,0.45189,0.30808,2.10602,3.46861,2.79221,0.00114606,0.00114606,0.00114606
12,11886.8,1.93602,3.06344,2.71164,0.52879,0.49699,0.50387,0.35468,2.07276,3.2738,2.79228,0.00111776,0.00111776,0.00111776
13,12868.4,1.95806,3.02812,2.74539,0.55441,0.53658,0.52752,0.3646,2.1388,3.19318,2.78542,0.00108947,0.00108947,0.00108947
14,14045.8,1.88213,2.92317,2.67683,0.50905,0.51702,0.52109,0.36894,1.9896,3.1602,2.68566,0.00106118,0.00106118,0.00106118
15,15248.9,1.88166,2.90931,2.69676,0.55873,0.50847,0.51626,0.35239,2.07104,3.14498,2.68848,0.00103288,0.00103288,0.00103288
16,16447.4,1.8905,2.91352,2.68096,0.53475,0.52525,0.51388,0.37901,1.95252,3.06947,2.65813,0.00100459,0.00100459,0.00100459
17,18019.5,1.85753,2.80372,2.66443,0.53624,0.55508,0.54697,0.38564,2.03237,3.04917,2.73533,0.000976293,0.000976293,0.000976293
18,19017.9,1.84656,2.79094,2.64955,0.56534,0.57535,0.55817,0.41159,1.93874,2.91274,2.62141,0.000947999,0.000947999,0.000947999
19,19983.2,1.84262,2.75319,2.64231,0.58106,0.57107,0.55844,0.40247,1.92331,2.96536,2.60973,0.000919704,0.000919704,0.000919704
20,20906.9,1.79918,2.72576,2.603,0.56499,0.51462,0.54795,0.41115,1.86041,2.92658,2.57609,0.00089141,0.00089141,0.00089141
21,21881.4,1.77928,2.6707,2.60495,0.60818,0.5596,0.57313,0.41744,1.94922,2.8443,2.60425,0.000863116,0.000863116,0.000863116
22,22818.8,1.79375,2.62708,2.61266,0.61637,0.54479,0.59407,0.43723,1.86867,2.82907,2.56151,0.000834822,0.000834822,0.000834822
23,23833.9,1.73635,2.60038,2.58315,0.61227,0.5523,0.59854,0.43829,1.8698,2.82167,2.56765,0.000806528,0.000806528,0.000806528
24,24805.4,1.72527,2.5663,2.57575,0.55195,0.58468,0.56942,0.43582,1.84222,2.83323,2.56763,0.000778233,0.000778233,0.000778233
25,25738,1.7176,2.54265,2.5667,0.59301,0.57624,0.57617,0.42395,1.86022,2.77517,2.5605,0.000749939,0.000749939,0.000749939
26,26694.1,1.70078,2.49456,2.56484,0.56963,0.5734,0.58851,0.44378,1.82994,2.74043,2.55624,0.000721645,0.000721645,0.000721645
27,27818.3,1.6686,2.45867,2.53191,0.62068,0.56425,0.60201,0.45471,1.77693,2.68895,2.50161,0.000693351,0.000693351,0.000693351
28,28684.5,1.65749,2.41415,2.51741,0.61724,0.58628,0.6038,0.44642,1.78406,2.72344,2.49776,0.000665057,0.000665057,0.000665057
29,29716,1.65257,2.37585,2.51089,0.60509,0.56276,0.58363,0.44247,1.79032,2.7187,2.5049,0.000636762,0.000636762,0.000636762
30,30879.2,1.61937,2.36641,2.49244,0.62124,0.58779,0.61852,0.46856,1.78995,2.64098,2.50532,0.000608468,0.000608468,0.000608468
31,31839.6,1.61733,2.35929,2.4937,0.64687,0.55415,0.61879,0.4606,1.73392,2.68645,2.4685,0.000580174,0.000580174,0.000580174
32,32867.4,1.59839,2.35374,2.49903,0.63018,0.59281,0.62439,0.49016,1.64874,2.62112,2.42131,0.00055188,0.00055188,0.00055188
33,33863.3,1.57127,2.30188,2.46917,0.64313,0.60424,0.63987,0.48886,1.76393,2.55854,2.51846,0.000523586,0.000523586,0.000523586
34,34809.7,1.56819,2.28008,2.46356,0.66218,0.60923,0.65114,0.50034,1.71636,2.50956,2.46302,0.000495291,0.000495291,0.000495291
35,35915.5,1.55257,2.25464,2.45672,0.61359,0.58558,0.61805,0.47152,1.71516,2.59973,2.47885,0.000466997,0.000466997,0.000466997
36,36763.1,1.53234,2.21468,2.44354,0.63369,0.5935,0.63161,0.49437,1.71425,2.51415,2.47621,0.000438703,0.000438703,0.000438703
37,37652.7,1.52643,2.18155,2.42775,0.68005,0.56603,0.62229,0.47942,1.73692,2.5499,2.4776,0.000410409,0.000410409,0.000410409
38,38483.6,1.51649,2.18445,2.43298,0.65404,0.60131,0.64924,0.50382,1.69536,2.49559,2.46615,0.000382115,0.000382115,0.000382115
39,39366.3,1.48311,2.13581,2.40512,0.64363,0.5885,0.63632,0.49095,1.75485,2.50822,2.5209,0.00035382,0.00035382,0.00035382
